Area name,Qualification Level,GDP per capita,Percentage of Qualification
Sandwell,No qualification,"21518",28.9
Blaenau Gwent,No qualification,"17360",27.9
Boston,No qualification,"23758",27.6
Merthyr Tydfil,No qualification,"20536",26.9
Leicester,No qualification,"28448",26.7
Castle Point,Level 1 Qualification,"15609",13.6
Harlow,Level 1 Qualification,"26748",13.4
Crawley,Level 1 Qualification,"47853",13.3
Basildon,Level 1 Qualification,"37820",13.1
Swindon,Level 1 Qualification,"45557",13
City of London,Level 4 or higher,"915251",74.2
Wandsworth,Level 4 or higher,"55883",62.6
Richmond upon Thames,Level 4 or higher,"66376",60.4
Kensington and Chelsea,Level 4 or higher,"77613",59.5
Westminster,Level 4 or higher,"435304",57.7
